mission_id,drone_id,mission_date,mission_start_time,manufacturer,mission_type,battery_health_pct,battery_start_pct,wind_speed_mps,signal_strength_pct,gps_accuracy_m,payload_utilization_pct,maintenance_due,days_since_last_service,operator_experience_years,maintenance_risk,wind_risk,signal_risk,gps_risk,battery_risk,start_battery_risk,payload_risk,service_risk,ai_schedule_risk_score,schedule_priority
MSN-2026-007855,DRN-0736,2026-07-08,13:04:24,Parrot,Stockpile Measurement,98.41,98.62,0.86,89.09,0.25,8.2,No,2,6.9,0,0.05733333333333333,0.0,0.0,0.0,0.0,0.08199999999999999,0.016666666666666666,2.084,High priority / low risk
MSN-2021-008771,DRN-0221,2021-11-30,12:46:56,Custom,Safety Monitoring,94.49,81.27,0.89,87.35,0.25,0.88,No,11,5.9,0,0.059333333333333335,0.0,0.0,0.0,0.0,0.0088,0.09166666666666666,2.2923999999999998,High priority / low risk
MSN-2023-007939,DRN-0584,2023-03-02,03:28:10,Parrot,Crop Health Survey,94.79,96.95,1.04,90.07,0.35,14.53,No,1,0.5,0,0.06933333333333333,0.0,0.0,0.0,0.0,0.14529999999999998,0.008333333333333333,2.771066666666666,High priority / low risk
MSN-2025-001039,DRN-0477,2025-10-20,22:56:32,DJI,Safety Monitoring,91.97,81.04,1.13,88.58,0.4,5.14,No,10,5.2,0,0.07533333333333332,0.0,0.0,0.0,0.0,0.051399999999999994,0.08333333333333333,2.9018666666666664,High priority / low risk
MSN-2021-012237,DRN-0549,2021-11-14,05:45:37,Parrot,Search and Rescue,100.0,87.38,1.51,99.84,0.55,4.87,No,2,7.5,0,0.10066666666666667,0.0,0.020000000000000018,0.0,0.0,0.0487,0.016666666666666666,3.050933333333334,High priority / low risk
MSN-2022-001526,DRN-0343,2022-05-21,11:26:19,Parrot,Bridge Inspection,94.02,84.13,1.06,86.61,0.58,1.41,No,12,2.9,0,0.07066666666666667,0.0,0.03199999999999999,0.0,0.0,0.0141,0.1,3.115466666666667,High priority / low risk
MSN-2026-005941,DRN-0624,2026-02-03,18:15:11,DJI,Tower Inspection,93.27,90.23,1.83,88.04,0.23,1.37,No,4,3.2,0,0.12200000000000001,0.0,0.0,0.0,0.0,0.0137,0.03333333333333333,3.1269333333333336,High priority / low risk
MSN-2025-003805,DRN-0688,2025-01-18,16:02:10,Custom,Network Site Survey,92.3,94.89,0.67,87.4,0.41,19.22,No,9,4.6,0,0.04466666666666667,0.0,0.0,0.0,0.0,0.19219999999999998,0.075,3.2702666666666667,High priority / low risk
MSN-2025-003343,DRN-0550,2025-09-17,07:13:06,Parrot,Field Mapping,93.57,93.89,0.68,95.37,0.24,19.37,No,10,1.3,0,0.04533333333333334,0.0,0.0,0.0,0.0,0.1937,0.08333333333333333,3.380266666666667,High priority / low risk
MSN-2023-011839,DRN-0511,2023-12-10,13:23:47,DJI,Solar Farm Inspection,92.01,78.24,0.59,96.44,0.33,9.31,No,18,5.2,0,0.03933333333333333,0.0,0.0,0.0,0.0352000000000001,0.0931,0.15,3.391733333333334,High priority / low risk
MSN-2024-006489,DRN-0338,2024-09-19,16:57:35,Custom,Warehouse Transfer,96.57,91.7,1.01,92.02,0.28,25.06,No,1,5.2,0,0.06733333333333333,0.0,0.0,0.0,0.0,0.2506,0.008333333333333333,3.5694666666666666,High priority / low risk
MSN-2026-003310,DRN-0665,2026-05-28,02:01:17,Autel,Crop Health Survey,92.85,85.3,1.59,93.42,0.26,1.24,No,14,1.9,0,0.10600000000000001,0.0,0.0,0.0,0.0,0.0124,0.11666666666666667,3.5978666666666674,High priority / low risk
MSN-2024-005118,DRN-0540,2024-10-02,10:45:51,Custom,Site Survey,97.54,82.52,1.36,89.85,0.34,8.66,No,11,6.7,0,0.09066666666666667,0.0,0.0,0.0,0.0,0.0866,0.09166666666666666,3.6041333333333334,High priority / low risk
MSN-2022-005059,DRN-0145,2022-10-11,10:09:23,DJI,Crop Health Survey,92.95,79.49,1.48,91.39,0.48,14.98,No,3,3.5,0,0.09866666666666667,0.0,0.0,0.0,0.010200000000000103,0.14980000000000002,0.025,3.700666666666667,High priority / low risk
