month,missions,revenue_inr,gross_margin_inr,active_customers,success_rate,avg_battery_health,mrr_proxy_inr
2021-01,248,2816761.93,2429435.87,183,81.45161290322581,89.49806451612903,2816761.93
2021-02,208,2575854.38,2244665.05,176,81.73076923076923,89.44471153846153,2575854.38
2021-03,217,2402162.27,2074645.61,168,83.41013824884793,89.41714285714286,2402162.27
2021-04,229,2691532.11,2343947.9,182,86.46288209606988,89.24528384279475,2691532.11
2021-05,229,2623991.46,2267181.6,183,84.27947598253274,89.45436681222706,2623991.46
2021-06,237,2725000.23,2359998.08,176,78.48101265822784,89.73417721518987,2725000.23
2021-07,222,2506877.86,2179196.32,182,82.88288288288288,90.01527027027026,2506877.86
2021-08,211,2264691.83,1926553.2,169,83.88625592417061,88.9832701421801,2264691.83
2021-09,218,2760132.89,2419938.22,171,83.4862385321101,89.24261467889907,2760132.89
2021-10,223,2579505.95,2262446.96,171,85.65022421524664,89.29188340807175,2579505.95
2021-11,220,2688266.42,2372140.8,181,82.27272727272728,89.78795454545454,2688266.42
2021-12,255,2911008.7600000002,2535103.21,205,85.09803921568627,89.75623529411764,2911008.7600000002
2022-01,238,2850497.1,2503088.47,185,85.71428571428571,90.5433193277311,2850497.1
2022-02,220,2729186.84,2401158.27,174,81.36363636363636,89.788,2729186.84
2022-03,248,2874111.96,2480239.2,197,88.70967741935483,89.40778225806451,2874111.96
2022-04,229,2731050.27,2403604.21,184,81.6593886462882,90.03855895196507,2731050.27
2022-05,226,2718930.52,2382001.09,176,86.72566371681415,89.5320353982301,2718930.52
2022-06,232,2707115.8,2351109.24,188,76.72413793103449,89.89521551724137,2707115.8
2022-07,224,2664355.26,2324466.26,178,83.03571428571429,89.67633928571429,2664355.26
2022-08,241,2809375.52,2439791.52,184,86.72199170124482,90.42290456431535,2809375.52
2022-09,223,2733418.27,2392197.18,169,84.30493273542601,89.13717488789237,2733418.27
2022-10,240,2842612.29,2472482.05,179,81.25,89.39225,2842612.29
2022-11,213,2506756.7800000003,2177188.69,172,79.81220657276995,89.4938497652582,2506756.7800000003
2022-12,221,2535940.72,2200772.75,170,82.80542986425338,89.30095022624434,2535940.72
2023-01,243,2812320.48,2443043.11,185,80.65843621399176,90.09271604938272,2812320.48
2023-02,209,2494805.15,2168179.72,170,85.64593301435407,89.93181818181819,2494805.15
2023-03,222,2658121.3,2313009.7,175,86.48648648648648,89.4699099099099,2658121.3
